"url","reviewerUsername","reviewerDisplayName","reviewerUrl","reviewerProductsCount","reviewText","date","recommended","hoursPlayed","voteText","helpfulPercent","votesHelpful","votesTotal","votesFunny","commentsCount"
"http://steamcommunity.com/id/richramp/recommended/460160/","richramp","♥","http://steamcommunity.com/id/richramp/","297 products in account","The Leisure of Grisaia is side story for the Grisaia series~\nAs for the side story it was pretty funny to be honest seeing how the girls are talking about lewd stuff and make jokes about it makes game funnier and enjoyable. Audio and graphics are the same as The Fruit of Grisaia.\n\nYou may think: "It costs 3$ who the hell would buy this?!? it's so short and its a side story!" First of all, it's worth the money and who the hell would buy it? Me. Why? Because i'm a fan of the series~\nI hope this awnser satisfys you :)\n\nVerdict 8/10 - I reccomend this for every VN lover, and if you never have read or heard about Grisaia just watch the anime or read this, you'll be introduced to some characters there too ;3","May 18","true","24.6"," 55 of 57 people (96%) found this review helpful 5 people found this review funny","96","55","57","5","4"
"http://steamcommunity.com/id/kiwitwdfan/recommended/460160/","kiwitwdfan","Kawaii Senpai","http://steamcommunity.com/id/kiwitwdfan/","398 products in account","It being a side story, the Leisure of Grisaia isn't very long (about an hour), but it is funny and good to see all the girls again. You will see a rather different side to them.\nI think this would be a good introduction for someone who hasn't played the series yet, and it doesnt cost much at all.\nBeing a fan myself, it was nice to get something while waiting for the rest of the trilogy to come out.\n","May 18","true","1.5"," 48 of 53 people (91%) found this review helpful 5 people found this review funny","91","48","53","5","3"
"http://steamcommunity.com/id/sqlkysely/recommended/460160/","sqlkysely","Humblebee","http://steamcommunity.com/id/sqlkysely/","371 products in account","Have you read The Fruit of Grisaia? Even partially?\n\nIf your answer is yes, then I would recommend this. It's cheap and you'll find that Front Wing's humor is spot on as always. It's a nice little side story to add to the main visual novel. It's about an hour long, so you'll read it through quickly.\n\nIf your answer is no, don't even bother. Not trying to turn away any potential fans for Grisaia, absolutely not. It's just that Leisure of Grisaia brings nothing special to people who browse random visual novels. With no real introductions to the characters, it's expected that you should know who the main students that attend Mihama Academy are, since you won't learn much here. If you want to read this, I'd recommend reading some chapters from The Fruit of Grisaia first, at least until you can kind of tell what kind of people the students are.\n\nSimply put: it's good, but to make your experience better, check out The Fruit of Grisaia first if you haven't already.","May 18","true","1.6"," 11 of 12 people (92%) found this review helpful","92","11","12","0","0"
"http://steamcommunity.com/profiles/76561198079061265/recommended/460160/","76561198079061265","Anonydeath","http://steamcommunity.com/profiles/76561198079061265/","70 products in account","Story goes and:\n- Michiru is still an idiot,\n- Sachi is still a maid\n- Yumiko is STILL a pervert\n- Amane is still mother-like\n- Makina is still immature (cut of this accent!)\n\nOh and Michiru is still an HUGE idiot.\n\nOverall i recommend it for Grisaia fans.","May 19","true","1.0"," 12 of 14 people (86%) found this review helpful 8 people found this review funny","86","12","14","8","0"
"http://steamcommunity.com/profiles/76561198050504492/recommended/460160/","76561198050504492","Srs Bisnis","http://steamcommunity.com/profiles/76561198050504492/","86 products in account","Sick, disgusting story about high school girls bullying a mentally handicapped child. 11/10","May 22","true","1.0"," 12 of 15 people (80%) found this review helpful 3 people found this review funny","80","12","15","3","0"
"http://steamcommunity.com/id/Alipheese_Fateburn/recommended/460160/","Alipheese_Fateburn","Alice","http://steamcommunity.com/id/Alipheese_Fateburn/","162 products in account","10/10. It has Michiru inside.","May 18","true","5.3"," 20 of 30 people (67%) found this review helpful 19 people found this review funny","67","20","30","19","0"
"http://steamcommunity.com/id/knight15/recommended/460160/","knight15","Amazing Phantom","http://steamcommunity.com/id/knight15/","30 products in account","2 girls 1 locker? Hell yeah! Subtle yuri at it's best.\n\nThis VN is a great complimetary to the original VN. It's still got a very funny narrative, some of the character gone some changes in terms of their way of speaking IMO. Not that it changes anything though. Last word, play it, it's dirt cheap and you'll get your fun.","May 18","true","1.4"," 9 of 12 people (75%) found this review helpful 4 people found this review funny","75","9","12","4","0"
"http://steamcommunity.com/id/alexpte/recommended/460160/","alexpte","Karoshi","http://steamcommunity.com/id/alexpte/","197 products in account","Questioning the looseness of Michiru's hole, yuri in the locker, exposing Yumiko's lewd bedroom activities, and hypnotizing her into being Sachi's btch. All in quick succession.\n\nThis was the best $3 I have ever spent in my entire life.","May 18","true","2.0"," 9 of 12 people (75%) found this review helpful 7 people found this review funny","75","9","12","7","0"
"http://steamcommunity.com/id/darknessintheway/recommended/460160/","darknessintheway","darknessintheway","http://steamcommunity.com/id/darknessintheway/","30 products in account","A short side story with the humour of the original series. It'll take you half an hour to finish.","May 18","true","0.7"," 11 of 16 people (69%) found this review helpful 1 person found this review funny","69","11","16","0","0"
"http://steamcommunity.com/id/Danx130/recommended/460160/","Danx130","ダニエル","http://steamcommunity.com/id/Danx130/","368 products in account","One of the extremely rare occasions that a game or VN has me laughing to the point of tears. In just 5 minutes.\n\nAh, the Grisaia trilogy. Three of the greatest stories ever conceived. Then there's this, one of the greatest side stories ever conceived.\nMihama Academy chew toy student Michiru once again takes centre stage in this small tale, primarily backed up by Sachi and her...unique skillset, along with Makina who is just being Makina. As usual.\n\nIf the above statement doesn't make much sense, you might not have played the main games and may not get the full level of enjoyment out of this. Knowledge of the characters is definitely an advantage, but if you like a bit of a laugh then it may be worth checking out anyway. It's main downside? Being pretty short, even by fan-disk standards.\n\nHandy dandy Pros N Cons taken from the above because nobody actually reads reviews anymore\nPros:\n+ Ridiculously funny\n+ Pretty cheap\n+ Nice soundtrack as usual\n+ References to the main game (Tunafish Man cameos FTW)\n\nCons:\n- Short\n- Worth mentioning again, but you'll really get full enjoyment out of this by actually having prior understanding of the characters (Is this really a con? Meh, whatever)","May 23","true","1.0"," 5 of 6 people (83%) found this review helpful","83","5","6","0","0"
