"url","reviewerUsername","reviewerDisplayName","reviewerUrl","reviewerProductsCount","reviewText","date","recommended","hoursPlayed","voteText","helpfulPercent","votesHelpful","votesTotal","votesFunny","commentsCount"
"http://steamcommunity.com/id/kh4osX/recommended/336630/","kh4osX","khaos","http://steamcommunity.com/id/kh4osX/","1188 products in account","I don't really know where to start on this one.  I was expecting a toned down version of the old school game Twisted Metal, but instead what I got was a mobile port of an endless runner, which uses a car instead of a character.\n\nYour options are left and right to dodge, quick brake and attack; no accelerator or brakes, just keep moving.\n\nThe games main concept is to speed down a straight road dodging cars all while picking up coins, powerups and weapons; simple enough.  As you get further down the road, you will continually pick up speed.   The overall feel of the game was a port of an iOS or Android to PC which would have been better off as a Free To Play with micro transactions or a free web based flash game, not a full fledged PC release.\n\nWith all this being said, the game does have it's own simple quick game kinda charm, worth playing if you have some time kill.  Without looking at the actual specs, I would imagine this game would run fine on most modern laptops with just integrated graphics and a modest amount of RAM, so might be a game for a long car ride or flight?  I dunno.","December 9, 2014","false","0.2"," 72 of 92 people (78%) found this review helpful","78","72","92","0","4"
"http://steamcommunity.com/id/peremptor/recommended/336630/","peremptor","peremptor","http://steamcommunity.com/id/peremptor/","3012 products in account","One of the crappiest mobile to pc ports I've seen and lord knows there is a lot of competition in said area. Game is a simple endless runner that looks and plays horrible.\n\nTo make it even worse you can't turn to godawful trashy music that's even worse than the crappy game itself.\n\nSo in summation... awful game, get something else. Have a good one.","March 13, 2015","false","0.3"," 17 of 21 people (81%) found this review helpful 4 people found this review funny","81","17","21","4","0"
"http://steamcommunity.com/id/pudge/recommended/336630/","pudge","Pudge","http://steamcommunity.com/id/pudge/","4641 products in account","If you're looking for a cheap endless runner inspired by Burnout, you can do far worse than Crash and Burn Racing. It's a game that's easy to pick up and play, although the music is a bit repetitive.\n\nIf you'd like to see some gameplay, I've made a Bundle Buys video on the game. Check it out!\n\nhttp://www.youtube.com/watch?v=v-VmPCrk2zY","January 20, 2015","true","0.6"," 9 of 12 people (75%) found this review helpful 2 people found this review funny","75","9","12","2","0"
"http://steamcommunity.com/id/anecdot/recommended/336630/","anecdot","MeduMegu | Collector Cache @30k","http://steamcommunity.com/id/anecdot/","3461 products in account","This is a simple endless run game. Nothing is special about this game.\nThere is no achievements, steam cards, multiplayer, leaderboard, etc.\nJust as the title said "Crash and Burn Racing", you drive a racing car to crash and burn other cars.\n\nBut it's still fun to play when you're bored.","February 14, 2015","true","0.7"," 9 of 12 people (75%) found this review helpful 1 person found this review funny","75","9","12","0","0"
"http://steamcommunity.com/profiles/76561198134610548/recommended/336630/","76561198134610548","Hazelmountin","http://steamcommunity.com/profiles/76561198134610548/","3 products in account","nice arcade racer that got me hooked....\n\nfew wishes:\n- steam achievements\n- extra city would be great\n- i think side traffic should crash the car\n\nall-in-all great fun for a small price - thanx","December 10, 2014","true","1.4"," 7 of 12 people (58%) found this review helpful","58","7","12","0","0"
"http://steamcommunity.com/id/maplesyrupghost/recommended/336630/","maplesyrupghost","maplesyrupghost","http://steamcommunity.com/id/maplesyrupghost/","6793 products in account","If they added leaderboards and Steam achievements, this would be a really really great game.  But for now, it's a really fun endless runner game where you are a car!  The physics are just spot-on for a crazy-taxi-type arcade-ness, and the game itself functions well, there is stuff to unlock, etc.\n\nHowever the downsides is in the amount of content.  Sure you could unlock all those paint schemes for each car, but it feels grindy just thinking about it.  I only played for like 30 minutes, but I felt like I saw it all.  Literally there are a few different powerups to blast cars in front of you, and you basically see how long you can last.  The pace didn't seem to get more intense either, but I could be wrong.  I don't really see the 'hook' of why I should even keep playing.\n\nSo why the thumbs up?\n\nBecause this game is perfect for what it set out to achieve: an endless runner with a car.  Now if the developers have a chance to add in some functionality to give it replay value and they could gave a gem on their hands.\n\nWishlist:\n- Steam leaderboards\n- Achievements\n- Trading Cards\n- Steam Cloud\n\nWill check back on this title later, but for now look at that price tag!  Day 1 release and it's like under $3 US.  This price point makes the decision to recommend to someone infinitely easier, I would hope everyone have this title in their library, although seeing as how they set the price bar that low you will probably have spare copies from bundles in a few months time.","December 10, 2014","true","1.5"," 13 of 24 people (54%) found this review helpful","54","13","24","0","1"
"http://steamcommunity.com/id/KoshaNostra/recommended/336630/","KoshaNostra","Bez","http://steamcommunity.com/id/KoshaNostra/","2201 products in account","Forewarning, don't buy this unless it's on sale. Very short, very easy, warts and all port of a mobile game. Fun to burn time on, but I "completed" it in under an hour. The icons are very big, designed for a mobile screen and are very obstructive when played on PC. There's an option to buy in-game money in the car customisation section and I presume this is a leftover from the mobile version as the button does nothing. There's an annoying  song in the background you can't turn off, or down. No settings to tweak at all. It's fun to kill time on while you wait for something else to load up, but is otherwise a  pointless and small game that isn't worth the RRP.","February 10, 2015","true","0.7"," 1 of 2 people (50%) found this review helpful","50","1","2","0","0"
"http://steamcommunity.com/id/retsmip/recommended/336630/","retsmip","Pimster","http://steamcommunity.com/id/retsmip/","24 products in account","Mindless racing, I like it :-)","February 13, 2015","true","0.2"," 1 of 2 people (50%) found this review helpful","50","1","2","0","0"
"http://steamcommunity.com/profiles/76561198008728893/recommended/336630/","76561198008728893","Beremans","http://steamcommunity.com/profiles/76561198008728893/","204 products in account","This game allows me to drive drive destructively. What else does a man want? Highly recommended if you enjoy racing and endless runner games. It has some very good upgrade systems, nice new cars to drive in, would be awesome if had some alternative environments too!","February 14, 2015","true","1.1"," 1 of 2 people (50%) found this review helpful","50","1","2","0","0"
"http://steamcommunity.com/id/fandango89/recommended/336630/","fandango89","Apparently Kid","http://steamcommunity.com/id/fandango89/","599 products in account","Definite pass. Endless runner where you navigate a boring, poorly modeled car through 4 lanes of poorly modeled traffic. You do the exact same 1 level, with a continuous loop of the same mediocre dub-metal song, that gets old after the first time you play it. You can change wheel and color of your car, but it all does nothing. There are only 3 total pickups and they get old. Nothing changes. You constantly repeat the same level to slowly unlock new cars to use on the level. But why play with new cars when you're doing the same thing you've done 1000 times before. 30 min of playtime in this game tops.  3/10.","May 31, 2015","false","0.3"," 1 of 2 people (50%) found this review helpful","50","1","2","0","0"
