"url","reviewerUsername","reviewerDisplayName","reviewerUrl","reviewerProductsCount","reviewText","date","recommended","hoursPlayed","voteText","helpfulPercent","votesHelpful","votesTotal","votesFunny","commentsCount"
"http://steamcommunity.com/id/xiiram/recommended/266370/","xiiram","Hyo","http://steamcommunity.com/id/xiiram/","1484 products in account","Early Access Review\n\nGame last updated on April 27 of 2016. Developer last contact on April 28 of 2016, Current playerbase is dead[steamcharts.com]. Although you can play with and against AI.\n\nThe game is fun, you drive a car (or control a turret) and your objective is to win by either driving or killing (as a turret) your racer's rivals. It remind me of Harms Way for the Xbox 360. However, as the Store Page says, it's in Alpha and is an unfinished product, there are few maps, to unlock some stuff you need to play a lot, and without an active playerbase it gets repetitive quickly, the driving controls need improvement, and most of the updates I remember, were new player models (cars). It still has some issues and with the way its being updated, I don't think it's worth the purchase right now.\n\nDo keep in mind it took them 2 years to apply an update that just changed the way turrets could get ammo and the removal of class progression barriers. The last update was on April 27 of 2016 but the in-game version still shows as the November 11 of 2014 one.\n\nhttp://steamcommunity.com/sharedfiles/filedetails/?id=681282398\n\n★★☆☆☆ | Disliked it","April 26, 2015","false","3.1"," 34 of 38 people (89%) found this review helpful 1 person found this review funny","89","34","38","0","2"
"http://steamcommunity.com/id/76561198017734543/recommended/266370/","76561198017734543","«Èl SkÛnKã™»","http://steamcommunity.com/id/76561198017734543/","400 products in account","Early Access Review\n\nThis is a great fun driving/shooting game but it has had little or no updates since I bought it back in November. The Dev's have gone rather quiet as well?","January 22, 2015","false","3.8"," 22 of 24 people (92%) found this review helpful","92","22","24","0","0"
"http://steamcommunity.com/id/FreakOramaXD/recommended/266370/","FreakOramaXD","FreakOrama","http://steamcommunity.com/id/FreakOramaXD/","737 products in account","Early Access Review\n\nSo far from what i have played the game is great, good looking and a great idea, but for me personally the car handling is far from good, there is a lot of work to do in terms of the cars handling, it feels twitching and some delay when making a turns and the drifting feeling really weird, and that's the only thing that worries me at the moment and hopefully further updates up til launch it will be good, though keep in mind this is alpha so this is to be expected, and when they do optimize the handling then this is a really fun game with fun ideas.\n\nMore info at: http://www.ksalue.com/main/2014/03/game-shock-calibre-10-racing-series/\n\nhttp://www.youtube.com/watch?v=tTLRihFib5g&feature=youtu.be","March 26, 2014","true","0.5"," 54 of 84 people (64%) found this review helpful 1 person found this review funny","64","54","84","0","0"
"http://steamcommunity.com/id/jamieb452/recommended/266370/","jamieb452","Greenfields🐱","http://steamcommunity.com/id/jamieb452/","688 products in account","Early Access Review\n\nThis game still hasn't had anything new since i first played it, wouldn't recommend until they complete it.","December 18, 2014","false","0.6"," 16 of 20 people (80%) found this review helpful 1 person found this review funny","80","16","20","0","0"
"http://steamcommunity.com/id/FirstSgtDan/recommended/266370/","FirstSgtDan","Rakkun","http://steamcommunity.com/id/FirstSgtDan/","335 products in account","Early Access Review\n\nIt's dead. No players, and specially, no devs.","February 15","false","7.4"," 12 of 14 people (86%) found this review helpful 2 people found this review funny","86","12","14","2","0"
"http://steamcommunity.com/id/astiolo/recommended/266370/","astiolo","Astiolo","http://steamcommunity.com/id/astiolo/","430 products in account","Early Access Review\n\nCool idea but it's long been abandoned and it's far from finished. Not worth buying.","April 26","false","4.2"," 6 of 8 people (75%) found this review helpful","75","6","8","0","0"
"http://steamcommunity.com/id/screaminginsilence/recommended/266370/","screaminginsilence","Thom Klanc","http://steamcommunity.com/id/screaminginsilence/","218 products in account","Early Access Review\n\nLet me just say that I love this game. The mixture of shooting and driving is really something cool, as I'm a racing fan, and i have friends that want to game but don't race.\n\nI do have one issue with it, in that there is absolutely no playerbase at the moment. We tested this to see if we could get ourselves up in the leaderboard and no points have shifted for any of the other teams in months.\n\nI haven't seen any updates for this game in a long time either. However, if the developers are still working on this and they are going to keep updating it and promoting it, it will be a great game. The idea is there, and I wouldn't stop anyone from purchasing it, but it is much better if you have a partner to be on your team.\n\nUPDATE:\nAfter months and months, there is still little playerbase and no new updates. I retract my previous review. While this game is fun to play, I feel that the developers have dropped this title and that is unfortunate. Save your money.","September 23, 2014","false","3.7"," 2 of 2 people (100%) found this review helpful","100","2","2","0","2"
"http://steamcommunity.com/id/LooseWires/recommended/266370/","LooseWires","Ka-秋","http://steamcommunity.com/id/LooseWires/","303 products in account","Early Access Review\n\nSay ahhh, this...hasn't been updated for like, a year.\n\nIt was  fine with Starbound since the Devs kept communications up, but where are the devs here?","March 28, 2014","false","0.6"," 2 of 2 people (100%) found this review helpful","100","2","2","0","0"
"http://steamcommunity.com/id/deadviper/recommended/266370/","deadviper","Arman Ossi Loko","http://steamcommunity.com/id/deadviper/","254 products in account","Early Access Review\n\nThis is a really cool game that deserves to continue getting updated. I really like it although there are still some bugs and things (like lag) that will need to be fixed.","May 10, 2014","true","0.7"," 6 of 10 people (60%) found this review helpful","60","6","10","0","0"
"http://steamcommunity.com/id/cyril72240/recommended/266370/","cyril72240","Yang Xiao Long","http://steamcommunity.com/id/cyril72240/","87 products in account","Early Access Review\n\nA really good game, even if it's only an alpha release, this game is really amazing. I'm not a big fan of racing game, but this one is the exception. Driving or shooting ? Why not both ?","May 10, 2014","true","5.1"," 7 of 12 people (58%) found this review helpful","58","7","12","0","0"
