"url","reviewerUsername","reviewerDisplayName","reviewerUrl","reviewerProductsCount","reviewText","date","recommended","hoursPlayed","voteText","helpfulPercent","votesHelpful","votesTotal","votesFunny","commentsCount"
"http://steamcommunity.com/id/ronpaulisfantastic/recommended/300/","ronpaulisfantastic","trumpboy2016","http://steamcommunity.com/id/ronpaulisfantastic/","169 products in account","day of defeat was good\n\nday of defeat source is great\n\nday of defeat global offensive is in my dreams","October 19, 2014","true","71.7"," 1,144 of 1,201 people (95%) found this review helpful 552 people found this review funny","95","144","1","552","31"
"http://steamcommunity.com/id/kaleidescoop/recommended/300/","kaleidescoop","Kaleidescoop","http://steamcommunity.com/id/kaleidescoop/","88 products in account","-RUSHING PRIVATE RYAN-\n\nWe set out in the morning, warily checking windows, corners, anywhere the Germans could spring a trap or an ambush.\n\nJohannson was in the lead, Garand at the ready and bayonet fixed improperly.  Rook was shadowing him, double checking each spot that Johannson had checked before.  I was in the middle with Peters, helping him carry the M2 Browning.  And Stewart was in the rear, covering our backs with his Thompson at the ready.\n\nIt was quiet.  Too quiet.\n\nThe bridge we had set out to capture was undefended, and we quickly set up a defensive position in case a German patrol stumbled upon us.\n\nThe sound started as a low rumble.  We looked around, at each other, confused as to why the ground was shaking.  It got louder, and we could soon hear the sound of people yelling.  We readied our weapons, getting ready for the enemy to throw a grenade or fire a Panzerschreck.\n\nBut nothing could prepare us for what happened next.\n\nA giant tide of German soldiers, all carrying trench shovels and primed Steilhandgranates in their hands, came around the corner, rushing at us screaming at the top of their lungs.\n\nWe opened fire, but there were too many and we were quickly overrun.\n\nStewart was the first to go, having gotten overzealous with his Thompson.  He had managed to push the wave of Germans back, when they surrounded him and began pummeling him to death with their shovels.\n\nOne of them, holding a grenade, charged Rook and Johannson from behind.  They never saw it coming.\n\nBy now, it was only me and Peters, him firing his MG wildly at the advancing tide while I threw frag grenade after frag grenade.  And then Peters started to run out of ammo.\n\nQuickly, I rushed up to his position with a new box of ammunition, but by that time they were almost upon him.  Peters quickly pulled out his M1911 and managed to squeeze off a few shots, but it wasn't long before he too was buried under the mass of grey and black.\n\nI was cornered, back against a locked door while I blasted soldier after soldier back with my Sniper rifle.  But it was no use.  They descended upon me, swinging shovels indiscriminately at my already bruised and battered body.  They were relentless, beating me until at last, I succumbed to the darkness.\n\nAs my vision blurred, they stopped screaming long enough for one of them to say something to me.\n\nSomething that would shock me to the core.\n\nHe said:\n\n"lol noob get rushed fggt"","December 15, 2014","true","4.1"," 806 of 847 people (95%) found this review helpful 950 people found this review funny","95","806","847","950","22"
"http://steamcommunity.com/id/hinzy__/recommended/300/","hinzy__","Hinzy","http://steamcommunity.com/id/hinzy__/","77 products in account","I joined a server to find a bunch of 40 year old New Zealand men talking about their alcohol addiction and marriage problems.\n\n10/10","June 24, 2015","true","33.9"," 610 of 644 people (95%) found this review helpful 622 people found this review funny","95","610","644","622","9"
"http://steamcommunity.com/id/hl-iliad/recommended/300/","hl-iliad","will","http://steamcommunity.com/id/hl-iliad/","67 products in account","Still waiting for Day of Defeat : Global Offensive\n\n\n\n\n\nEDIT : Is this review that funny?","August 10, 2015","true","0.3"," 1,636 of 1,810 people (90%) found this review helpful 1,863 people found this review funny","90","636","1","863","41"
"http://steamcommunity.com/id/StarWarsbetterthanStarTrek/recommended/300/","StarWarsbetterthanStarTrek","King Darío","http://steamcommunity.com/id/StarWarsbetterthanStarTrek/","174 products in account","We were losing,so I said "Lets pull a France and Surrender". The next guy said that we should pull an Italy and switch sides.Then another guy said "No,Lets pull a Russia and suck for most of the War but make an epic comeback". We only had one base left and within 2 minutes we had all of them.What a comeback.\n\n8.3/10 it keeps historical jokes alive.","June 14, 2014","true","13.8"," 379 of 402 people (94%) found this review helpful 8 people found this review funny","94","379","402","8","8"
"http://steamcommunity.com/id/wilsooon/recommended/300/","wilsooon","Wilson","http://steamcommunity.com/id/wilsooon/","98 products in account","I only played this game a little, but it was fun.","December 25, 2014","true","794.9"," 551 of 614 people (90%) found this review helpful 714 people found this review funny","90","551","614","714","22"
"http://steamcommunity.com/id/lemonmelons/recommended/300/","lemonmelons","J-Dub","http://steamcommunity.com/id/lemonmelons/","36 products in account","Day Of Defeat...\n\nOnly 1 server with players -.-\n\n*Gets on server*\n\n*Goes rifleman - shoots enemy waiting outside spawn*\n\n*Kicked by admin for shooting from inside spawn*\n\n----\n\nGoes Assault\n\n*Throws grenade out of spawn to same enemy hiding below*\n\n*Kicked by admin - using weapons when in spawn*\n\n----\n\nGoes Support\n\n*Goes to other side of map*\n\n*Shoots enemy that just came out of spawn*\n\n*Enemy rages*\n\n*Enemy is admin*\n\n*Kicked for "shooting near enemy spawn*\n\n-.-\n\n...\n\n\n----\n\nGoes Sniper\n\n*Teammate runs infront of you when sniping*\n\n*Teammate dead*\n\n*Typing in chat to apologise*\n\n*Kicked for teamkilling and not apologising....*\n\n----\n\nGoes Machine Gunner\n\n*Deploys bipod and mows down enemies*\n\n*Kicked by admin for deploying bipod on a map which it is not permitted*\n\n---\n\nGoes Rocket\n\n*Sees enemy near spawn*\n\n*Lays down on spawn wall to avoid confrontation*\n\n*Doesn't shoot*\n\n*Kick by admin for proning on spawn wall*\n\n----\n\n...\n\n\n\n\n\n.......\n\n\n\n\n\n\n\n.......................\n\n\n\n\n\nALT+F4         <3","January 10, 2015","true","124.9"," 288 of 324 people (89%) found this review helpful 415 people found this review funny","89","288","324","415","10"
"http://steamcommunity.com/id/BufferOverflow/recommended/300/","BufferOverflow","{BuFFerOverflow}","http://steamcommunity.com/id/BufferOverflow/","23 products in account","Game is alright.","June 10, 2015","true","373.1"," 371 of 429 people (86%) found this review helpful 335 people found this review funny","86","371","429","335","6"
"http://steamcommunity.com/profiles/76561197999363566/recommended/300/","76561197999363566","Moneybags","http://steamcommunity.com/profiles/76561197999363566/","120 products in account","Had a casual conversation with my friend when a bullet went through his head.\n\n7/10 would witness again.","October 31, 2014","true","76.2"," 314 of 359 people (87%) found this review helpful 233 people found this review funny","87","314","359","233","2"
"http://steamcommunity.com/id/dannyboy2016/recommended/300/","dannyboy2016","dannyboy2016","http://steamcommunity.com/id/dannyboy2016/","670 products in account","I tried Day of Defeat: Source again recently and was expecting it to be dead. After all, the game is almost a decade old now. However, I was still able to find several populated servers at all hours of the day or night.  Old age hasn’t killed DOD:S.\n\nIf anything age has worked in DOD:S’s favor. For example, it attracts an older and more mature crowd. I haven’t had to put up with as much drama or slurs from annoying prepubescent teammates as I do in more modern multiplayer shooters.\n\nAnother example of age helping the DOD:S experience is how “old school” it feels. Despite the WW2 setting, DOD:S plays more like an arena shooter from the 1990s than today’s super serious military shooters. Forget aiming down iron sights. Secondary fire for most weapons throws solid punch instead. Expect to spend a lot of time zipping about, shooting dudes with crosshairs, punching them for good measure, and laughing at the exaggerated ragdoll physics.\n\nDay of Defeat: Source is not a masterpiece but it’s worth a look if you have a hankering for a shooter that isn’t too serious.\n","November 26, 2014","true","20.4"," 152 of 157 people (97%) found this review helpful 11 people found this review funny","97","152","157","11","1"
